No;Kode Kelompok Barang;Jenis Barang;Kuantitas;Satuan;No. Rak
1;200200;Kancing;405;grs;2
2;200200;Kancing;662;grs;3
3;200200;Kancing;2000;set;4
4;200200;Kancing;591;pcs;4
5;200200;Kancing;2100;grs;4
6;200200;Kancing;510;dz;6
7;200200;Kancing;305;grs;6
8;200200;Kancing;490;pcs;7
9;200200;Kancing;52734;grs;7
10;200200;Kancing;1196;grs;8
11;200200;Kancing;930;grs;10
12;200200;Kancing;1014;grs;11
13;200200;Kancing;1086;grs;12
14;200200;Kancing;145;grs;14
15;200200;Kancing;3000;set;14
16;200200;Kancing;48297;pcs;14
17;200200;Kancing;6544;pcs;15
18;200200;Kancing;3000;set;15
19;200200;Kancing;417;grs;15
20;200207;Polybag;15018;pcs;16
21;200200;Kancing;810;grs;18
22;200200;Kancing;5678;pcs;18
23;200200;Kancing;509;grs;19
24;200207;Polybag;5048;pcs;20
25;200200;Polybag;625;grs;20
26;200200;Kancing;879;grs;22
27;200200;Kancing;35362;pcs;22
28;200200;Kancing;541,5;grs;23
29;200200;Kancing;1617;grs;24
30;200200;Kancing;5150;pcs;24
31;200202;Kancing;234;pcs;25
32;200202;Kancing;481;cns;26
33;200200;Kancing;1209;grs;27
34;200200;Kancing;592;dz;27
35;200200;Kancing;332;grs;28
36;200200;Kancing;20820;pcs;28
37;200200;Kancing;214;grs;28
38;200202;Benang;222;cns;29
39;200202;Benang;537;cns;30
40;200209;Hangtag;35,022;pcs;31
41;200209;Hangtag;29,785;pcs;32
42;200202;Hangtag;322;cns;33
43;200202;Benang;455;cns;34
44;200206;Stiker;41793;pcs;35
45;200209;Hangtag;22312;pcs;35
46;100206;Stiker;2927;pcs;35
47;200209;Hangtag;63613;pcs;36
48;100203;Label;66010;pcs;38
49;200203;Label;76977;pcs;38
50;200203;Label;162901;pcs;39
51;200203;Label;206012;pcs;40
52;200203;Label;20675;pcs;42
53;100203;Label;11712;dz;43
54;200203;Label;25531;pcs;44
55;100203;Label;10685;pcs;45
56;100203;Label;9395;pcs;46
57;100203;Label;23410;pcs;47
58;200203;Label;32196;pcs;47
59;200203;Label;12355;pcs;48
60;100203;Label;9942;pcs;49
61;100204;Zipper;14118;pcs;50
62;100204;Zipper;22726;pcs;51
63;100204;Zipper;9748;pcs;52
64;100204;Zipper;6969;pcs;54
65;100204;Zipper;31175;pcs;55
66;100204;Zipper;4050;pcs;56
67;100204;Zipper;8568;pcs;58
68;100204;Zipper;155567;pcs;59
69;100204;Zipper;6085;pcs;60
70;100207;Polybag;9981;pcs;63
71;100206;Tape;5760;yds;66
72;100206;Tape;140;roll;66
73;100204;Zipper;6886;pcs;67
74;100204;Zipper;5226;pcs;68
75;100216;Tape;261;roll;70
76;100216;Tape;48;roll;70
77;100204;Tape;12190;pcs;71
78;100204;Tape;2120;pcs;72
79;100204;Tape;19875;pcs;74
80;100204;Tape;24806;pcs;75
81;200204;Tape;2711;pcs;75
82;100204;Tape;12056;pcs;76
83;100204;Tape;43312;pcs;78
84;100204;Tape;15224;pcs;79
85;100204;Tape;8441;pcs;80
86;100204;Tape;8940;pcs;82
87;100204;Tape;12271;pcs;83
88;100202;Benang;175;cns;85
89;100202;Benang;674;cns;86
90;100202;Benang;689;cns;87
91;100202;Benang;458;cns;88
92;100202;Benang;273;cns;89
93;100202;Benang;384;cns;90
94;100202;Benang;564;cns;91
95;100202;Benang;661;cns;92
96;100202;Benang;63;cns;93
97;100202;Benang;324;cns;94
98;100202;Benang;611;cns;95
99;100202;Benang;160;cns;96
100;100202;Benang;59;cns;97
101;100202;Benang;139;cns;98
102;100202;Benang;460;cns;99
103;100202;Benang;512;cns;100
104;100202;Benang;133;cns;101
105;100202;Benang;417;cns;102
106;100202;Benang;608;cns;103
107;100202;Benang;144;cns;104
108;100202;Benang;74;cns;105
109;100202;Benang;335;cns;106
110;100202;Benang;329;cns;107
111;100202;Benang;24631;cns;108
112;100202;Benang;254;cns;110
113;100202;Benang;36;cns;111
114;100202;Benang;615;cns;112
115;100202;Benang;123;cns;113
116;100202;Benang;476;cns;114
117;100202;Benang;400;cns;115
118;100202;Benang;390;cns;116
119;100202;Benang;151;cns;117
120;100202;Benang;406;cns;118
121;100202;Benang;439;cns;119
122;100202;Benang;475;cns;120
123;100202;Benang;145;cns;121
124;100202;Benang;208;cns;122
125;100202;Benang;513;cns;123
126;100202;Benang;398;cns;124
127;100202;Benang;165;cns;125
128;100202;Benang;310;cns;126
129;100202;Benang;308;cns;127
130;100202;Benang;676;cns;128
131;100202;Benang;162;cns;129
132;100202;Benang;550;cns;130
133;100202;Benang;586;cns;131
134;100202;Benang;595;cns;132
135;100202;Benang;94;cns;133
136;100202;Benang;450;cns;134
137;100202;Benang;183;cns;135
138;100207;Polybag;16855;cns;136
139;100202;Benang;303;cns;137
140;100202;Benang;514;cns;138
141;100207;Polybag;13650;pcs;139
142;100207;Polybag;15824;pcs;140
143;100202;Benang;187;cns;141
144;100202;Benang;384;cns;142
145;100202;Benang;313;cns;143
146;100207;Benang;10066;pcs;144
147;100202;Benang;183;cns;145
148;100202;Benang;240;cns;146
149;100202;Benang;346;cns;147
150;100207;Polybag;6159;pcs;148
151;100207;Polybag;9383;pcs;148
152;100202;Benang;92;cns;149
153;100202;Benang;256;cns;150
154;100202;Benang;386;cns;151
155;100207;Polybag;19123;pcs;152
156;100202;Benang;341;cns;153
157;100202;Benang;194;cns;154
158;100202;Benang;367;cns;155
159;100207;Polybag;17716;pcs;156
160;100204;Zipper;93406;pcs;157 - 438
161;100202;Benang;38998;cns;157 - 438
162;100202;Benang;1189;cns;157 - 438
163;100208;Elastis;38670;yds;157 - 438
164;100208;Elastis;11064;yds;157 - 438
165;200215;Velcro;12155;yds;157 - 438
166;200216;Tape;39801;yds;158 - 438
167;200216;Tape;1240;yds;159 - 438
168;200208;Elastis;6100;yds;160 - 438
169;200200;Kancing;2249;grs;161 - 438
170;200200;Kancing;1497;pcs;162 - 438
171;200204;Zipper;14950;pcs;163 - 438
172;200202;Benang;10991;cns;164 - 438
173;100202;Benang;430;cns;339
174;100202;Benang;260;cns;341
175;100202;Benang;287;cns;342
176;100202;Benang;507;cns;343
177;100202;Benang;448;cns;344
178;100202;Benang;355;cns;345
179;100202;Benang;334;cns;346
180;100202;Benang;306;cns;347
181;100202;Benang;343;cns;348
182;100202;Benang;354;cns;350
183;100202;Benang;412;cns;351
184;100202;Benang;442;cns;352
185;100202;Benang;248;cns;353
186;100202;Benang;371;cns;354
187;100202;Benang;369;cns;355
188;100202;Benang;321;cns;356
189;100202;Benang;58;cns;357
190;100203;Benang;260;cns;358
191;100204;Benang;352;cns;359
192;100205;Benang;331;cns;360
193;100206;Benang;114;cns;362
194;100207;Benang;188;cns;363
195;100208;Benang;380;cns;364
196;100209;Benang;173;cns;365
197;100210;Benang;381;cns;367
198;100211;Benang;60;cns;368
199;100212;Benang;70;cns;369
200;100213;Benang;266;cns;370
201;100214;Benang;119;cns;371
202;100215;Benang;193;cns;372
203;100216;Benang;114;cns;374
204;100217;Benang;192;cns;375
205;100218;Benang;174;cns;376
206;100219;Benang;287;cns;379
207;100220;Benang;93300;cns;440
208;200203;Label;52728;pcs;441
209;200203;Label;74083;pcs;442
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;  ;;;
